codigo;descripcion;unidades;um;precio
1230;GITANES CORTOS SIN FILTRO DURO;10;Cajetilla;7,00
1232;AGIO MEHARI'S RED ORIENT (20);10;Estuche;7,30
1234;DON JULIÁN Nº1 (5);5;Estuche;22,00
1236;GUAJIRO AROMAS            (10);10;Caja;3,80
1243;FONSECA DELICIAS          (25);1;Caja;110,00
1248;ROTHMANS BLUE;10;Cajetilla;6,90
12503;VEGAFINA CLASICC PERLA (10;1;Caja;29,50
12511;PUEBLO  30 G  FINE CUT NL;10;Bolsa;7,10
1258;JPS BLACK;10;Cajetilla;5,85
1263;JPS AMERICAN BLEND WHITE;10;Cajetilla;5,85
12669;TRABUCOS CORONAS 50 NL;1;Estuche;27,50
1272;SILK CUT WHITE;10;Cajetilla;7,90
1285;VOGUE SUPER SLIMS BLUE;10;Cajetilla;7,15
12913;LATINO HERITAGE;10;Cajetilla;4,80
1295;FONSECA COSACOS           (25);1;Caja;182,50
1299;GITANES CORTOS CON FILTRO DURO;10;Cajetilla;7,00
1306;VASCO DA GAMA Nº2 CLARO (25);1;Caja;50,00
1307;REY MUNDO DEMI TASSE      (25);1;Caja;150,00
13081;ROM Y JUL SHORT CHURCHIL 25 NL;1;Caja;530,00
13083;ROM Y JUL SHORT CHURCHIL 10 NL;1;Caja;212,00
1311;LAMBERT & BUTLER GOLD;10;Cajetilla;7,75
1314;CLUBMASTER MINI N.121 SUM.(20);10;Lata;4,70
1321;MINI DAVIDOFF             (50);1;Caja;38,00
1324;FONSECA N.1 (25);1;Caja;250,00
1332;GUAJIRO N.5               (25);1;Caja;27,50
1333;MONTECRISTO N.1           (25);1;Caja;522,50
1337;FONSECA CADETES           (25);1;Caja;107,50
1340;F.T.PARTAGAS SUPERPARTAGAS(25);1;Caja;252,50
1356;MONTECRISTO MINI (10);10;Estuche;6,30
1360;FLOR CANO PETIT CORONAS   (25);1;Caja;97,50
1362;MONTECRISTO N.2           (25);1;Caja;645,00
1365;AGIO MEHARI'S ECUADOR . (50);4;Estuche;15,60
13721;VEGAFINA MINI FILTER 20 NL;5;Lata;5,90
13729;STERLING KING SIZE;10;Cajetilla;7,20
13730;STERLING SUPERKINGS;10;Cajetilla;7,20
13772;ROM Y JUL SHORT CHURCH TUB 3NL;1;Caja;65,70
13783;PALL MALL PUERTO RICO;10;Cajetilla;5,85
13842;COHIBA CLUB (10) ESP PC NL;10;Caja;9,70
13843;MONTECRISTO CLUB (10) ESP PC NL;10;Caja;8,00
13929;ROM Y JUL PETIT JULIETA 25 NL;1;Caja;160,00
13931;BOLIVAR BELICOSOS FINOS WSL (25);1;Caja;455,00
13933;H. UPMANN CORONAS MAJOR T/AL 25 NL;1;Caja;235,00
13935;AMBER LEAF 10 X 50 G;10;Bolsa;15,50
13936;ROM Y JUL MILLE FLEURS (10) NL;1;Caja;74,00
13979;FLEUR DU PAYS N.1 BLOND 500 GR NL;1;Bolsa;130,40
14064;J.CORTES CORONA SUMATRA 100% S (10);2;Caja;33,00
14077;VILLIGER EXPORT  PRESSED (5) NL;5;Estuche;7,20
14079;VILLIGER KIEL JUNIOR  (10) NL;10;Estuche;5,50
14129;MONTECRISTO PETIT EDMUNDO (25) NL;1;Caja;457,50
14130;MONTECRISTO PETIT EDMUNDO (10);1;Caja;183,00
14134;JPS AMERICAN BLEND RED 100'S;10;Cajetilla;5,50
14138;BRANIFF NEGRO FILTER CAPA NATURAL 20;10;Estuche;3,10
1421;F.T.PARTAGAS HABANEROS    (25);1;Caja;197,50
1427;SIGNATURE BLUE      (20);5;Lata;6,10
1428;SIGNATURE ORIGINAL (20);5;Lata;6,10
1429;ROM Y JUL CORONITAS     (25);1;Caja;217,50
14443;DUCADOS MINI 20 ESP NL;10;Estuche;4,10
1445;H.W. HALF CORONAS          (5);5;Estuche;8,60
14534;VEGAFINA CLASSIC PERLA TUBO (10);1;Caja;33,50
1461;BORKUM RIFF BRONZE   (50 G);5;Bolsa;7,80
14636;H. UPMANN MAGNUM 46  TUBO (3) NL;1;Caja;59,10
14638;MONTECRISTO PETIT EDMUNDO TUBO (3)  NL;1;Caja;57,00
1465;MONTECRISTO N.3            (5);1;Estuche;83,00
14667;H.MONTERREY CORONATIONS T/ALUM(25);1;Caja;300,00
14672;MONTECRISTO EDMUNDO TUBO (3);1;Estuche;79,20
14673;MONTECRISTO N.4        (10) NL;1;Caja;127,00
14674;MONTECRISTO PETIT TUBOS 25  NL;1;Caja;335,00
14675;MONTECRISTO PETIT TUBOS 5;1;Caja;67,00
14686;ROM Y JUL ROMEO N.1    (3) NL;1;Estuche;34,80
14688;ROM Y JUL ROMEO N.2    (3) NL;1;Caja;36,00
14689;ROM Y JUL ROMEO N.3   (10)  NL;1;Caja;93,00
14690;ROM Y JUL ROMEO N.3   (3)  NL;1;Caja;27,90
14715;H. UPMANN CORONAS JUNIOR TUBO 25;1;Caja;185,00
14720;JOSE L. PIEDRA PETIT CAZADOR5;5;Caja;9,50
14730;QUAI D'ORSAY CORONAS CLARO (25) NL;1;Caja;400,00
14757;TOSCANELLO ROSSO 5;10;Estuche;4,90
14759;ANTICO TOSCANO 5;10;Estuche;9,50
14760;TOSCANELLO 5;10;Estuche;4,90
14761;TOSCANO EXTRAVECCHIO 5;10;Estuche;7,10
1483;PUNCH PUNCH PUNCH         (25);1;Caja;475,00
1484;TURNER ORIGINAL     (40G);5;Bolsa;7,95
14871;RICHMOND SUPERKINGS;10;Cajetilla;7,40
1490;VEGAS ROBAINA FAMOSOS      (25);1;Caja;400,00
14915;TOSCANO CLASSICO 5;10;Estuche;6,60
1493;DAVIDOFF DEMI TASSE NL (10);5;Caja;20,80
1499;AMPHORA FULL   (50G);5;Bolsa;7,80
15021;AL CAPONE ORIGINAL FILTER (10);10;Estuche;2,70
15062;PONCHO CIGARRITOS  10;10;Caja;2,60
1507;JOHN PLAYER KING SIZE BLUE;10;Cajetilla;6,90
1508;NOBEL PETIT WHITE SUMATRA (20);5;Estuche;8,90
1510;QUINTERO LONDRES EXTRA    (25);1;Caja;85,00
1513;VEGAS ROBAINA UNICOS       (25);1;Caja;550,00
15158;DAVIDOFF PRIMEROS 6;5;Estuche;30,00
1518;GUAJIRO GRAN CEDRO        (25);1;Caja;46,50
1520;COHIBA SIGLO II           (25);0;Caja;980,00
1526;MINI DAVIDOFF CIGAR SILVER 20;5;Estuche;15,20
15322;VASCO DA GAMA CAPA DE ORO25 NL;1;Estuche;50,00
1534;CONDAL N.4  (25);1;Caja;155,00
1535;AMSTERDAMER FINE CUT 40 G;10;Bolsa;8,50
15369;MACANUDO CLUB CIGARILLOS (20);5;Caja;8,80
1538;BORKUM RIFF ORIGINAL (50G) BY.;5;Bolsa;7,90
1541;MONTECRISTO ESPECIAL      (25);1;Caja;635,00
1545;BORKUM RIFF RUBY (50 G);5;Bolsa;8,00
1549;DAVIDOFF SIGNATURE N.2000 (25) NL;1;Caja;360,00
1554;ROM Y JUL ROMEO N.1     (10);1;Estuche;116,00
1559;SANCHO PANZA NON PLUS     (25);1;Caja;230,00
1560;ST. BRUNO READY RUBBED   (50G);5;Bolsa;8,90
1564;MONTECRISTO JOYITAS       (25);1;Caja;225,00
15723;TOSCANO ANTICA RISERVA 2;10;Estuche;5,30
15724;DAVIDOFF ROBUSTO COLLECTION 5;1;Caja;67,10
15727;HOLGER DANSKE RUBY MELANGE 50 G;5;Bolsa;4,50
15728;HOLGER DANSKE BLACK & B (50 G);5;Bolsa;5,65
15760;NOBEL TRIPLE FILTRO;10;Cajetilla;6,00
15774;PALL MALL R. N. ORL S.R.T. 200;3;Lata;48,00
15791;HERENCIA PALMERA BREVAS 25;1;Estuche;15,00
15793;HERENCIA PALMERA SEÑORITAS 25;1;Estuche;12,50
1580;DAVIDOFF SIGNATURE 1000 (25);1;Caja;275,00
15897;PUEBLO  100 G  FINE CUT NL;1;Lata;23,60
1590;F.T.PARTAGAS LUSITANIA    (25);0;Caja;805,00
1594;SANCHO PANZA BELICOSOS    (25);1;Caja;390,00
1595;CONDAL N.6  (25);1;Caja;155,00
15968;GUAJIRO FORTE TROMPETAS 5 NL;5;Estuche;2,10
1597;MAC BAREN MIXTURE        (50G);5;Bolsa;8,00
1598;CALYPSO REIG MINI FILTER NL(20);10;Estuche;6,70
1599;ROM Y JUL CHURCHILLS TUBO (10);1;Caja;300,00
1603;COHIBA EXQUISITOS         (25);0;Caja;980,00
1607;COHIBA PANATELAS (25);0;Caja;775,00
16082;BRANIFF AMER.  BLEND CAPA NATURAL;10;Estuche;3,10
16104;F.T.PARTAGAS MILLE FLEUR(25)NL;1;Caja;185,00
16114;VEGAFINA CLASSIC SHORT ROBUSTO (25);1;Caja;122,50
1613;HALF AND HALF            (50G);5;Bolsa;8,10
16151;PANTER MINI ORIGINAL 20;10;Lata;5,60
16152;PANTER MINI BLEU 20;10;Lata;5,60
16213;H. UPMANN MAGNUM 50   (25)  NL;1;Caja;577,50
16214;TABACS JUNEDA CALIQUEÑOS 20;4;Caja;20,00
16216;NEOS MINI JAVA  (20)  NL;10;Estuche;5,00
16263;GAULOISES BRUNES;10;Cajetilla;6,35
16280;D.TOMAS CLASICO ROBUSTO  25;1;Caja;107,50
16281;D.TOMAS CLASICO ROTHSCHILD  25;1;Caja;100,00
16284;PUEBLO CIGARETTE;10;Cajetilla;5,15
1629;DAVIDOFF SIGNATURE N.2000 (5) NL;1;Estuche;72,00
16328;GAULOISES MELANGE ORIGINAL 40G;10;Bolsa;10,05
1634;BORKUM RIFF BLACK (50 G);5;Bolsa;8,30
16350;F.T.PARTAGAS SERIE D N.4(10)NL;1;Caja;212,00
16357;H.MONTERREY EPICURE ESP  25;1;Caja;565,00
1637;DAVIDOFF SIGNATURE 1000  (5) NL;1;Estuche;55,00
16404;EL CREDITO SERIE R N.4 ( 24) NL;1;Caja;124,80
16405;EL CREDITO SERIE R N.5 ( 24) NL;1;Caja;141,60
16406;EL CREDITO SERIE R N.6 ( 24) NL;1;Caja;194,40
1645;CLAN BLUE (50G);5;Bolsa;8,30
1646;CAPSTAN ORIGINAL NAVY CUT(50G);5;Lata;11,40
1651;BROOKFIELD Nº 1 (50 G);5;Bolsa;5,00
16629;H.MONTERREY EPICURE ESP  10;1;Caja;226,00
16638;LA CAMPANA CALIQUEÑOS (20);2;Caja;20,00
16641;LA CAMPANA CALIQUEÑOS (10);5;Caja;10,00
16684;MARLBORO POCKET PACK (CORTO);10;Cajetilla;6,00
16725;PUEBLO BLUE;10;Cajetilla;5,15
16763;MACANUDO LONDON CLUB CONNECTICUT 25;1;Caja;77,50
16781;TABACS JUNEDA  CALIQUEÑOS 50;1;Caja;50,00
1689;DAVIDOFF SIGNATURE N.2   (5) NL;1;Estuche;105,00
1696;BORKUM RIFF COPPER (50 G);5;Bolsa;8,30
1699;KENTUCKY BIRD            (50G);5;Bolsa;7,20
17000;F.T.PARTAGAS SALOMONES 10;1;Caja;382,00
17036;VEGAFINA SHORT ROBUSTO (10) NL;1;Caja;49,00
17097;EL CREDITO SERIE R N.3  24;1;Caja;94,80
17140;PANTER MINI RED 20;10;Lata;5,60
17149;AMIGOS  (20) NL CN;10;Caja;4,60
17196;CANDLELIGHT FILTER RED (10);10;Caja;1,60
17197;CANDLELIGHT FILTER GOLD 10;10;Caja;1,60
1720;INDIAN SUMMER            (50G);5;Bolsa;8,00
17201;CANDLELIGHT B. CORONA SUMATRA 25;1;Caja;30,00
17202;MANITOU F.CUT VIRGINIA.GOLD100;3;Lata;19,00
17213;BURTON ORIGINAL;10;Cajetilla;4,80
17217;MANITOU VIRGINIA GOLD;10;Cajetilla;5,00
17218;MANITOU VIRGINIA PINK;10;Cajetilla;5,00
17221;CALYPSO REIG 1 (10);10;Estuche;3,40
1723;MAC BAREN GOLDEN AMBROSIA(50G);5;Bolsa;8,30
1725;H.MONTERREY EPICURE N.1   (25);1;Caja;530,00
17253;MAKLA BOUHLEL BENTCHICOU ROUGE 20;10;Lata;1,70
17257;LA DALIA REIG 7 CORTADOS NA (10);10;Estuche;7,60
17317;H. UPMANN MAGNUM 50 TUBO 3;1;Caja;71,40
17318;H.MONTERREY EPICURE ESP TUBO 3;1;Caja;69,90
1733;MAC BAREN RED AMBROSIA (50G);5;Bolsa;8,00
17412;MONTE NEGRO SERIE ORO (24) ED.ESP;1;Caja;55,20
17487;CLUBMASTER MINI FILTER RED 20;10;Estuche;4,70
1754;SKANDINAVIK NAVY (50 G);5;Bolsa;8,40
17555;GOLDEN VIRGINIA YELLOW 50G;10;Bolsa;15,30
1757;GAWITH ORIGINAL  (10G);10;Lata;2,50
17579;HDA. DOS SANTOS CORONAS 25;1;Caja;50,00
1758;GLETSCHERPRISE           (10G);10;Lata;2,50
17580;HDA. DOS SANTOS G. RESERVA 25;1;Caja;56,25
17582;CONSUL CRISTALES RESERVA 25;1;Caja;47,50
17583;CONSUL ESPECIALES 25;1;Caja;42,50
1761;LOWENPRISE               (10G);10;Lata;2,50
17648;MONTE NEGRO PANETELAS 25;1;Caja;35,00
17656;JPS VIRGINIA BLUE;10;Cajetilla;7,15
1772;DAVIDOFF ANIVER SPECIAL R  (25);1;Caja;562,50
17737;AMIGOS   10;10;Estuche;3,30
1775;SKANDINAVIK MIXTURE      (50G);5;Bolsa;8,20
1776;EXCLUSIV MIXTURE Nº 6 (50 G);5;Lata;5,50
