codigo;descripcion;precio;unidades;um
1171;PICADURA SELECTA         (40G);9.80;10;Bolsa
1173;MINI DAVIDOFF GOLD (20);15.20;5;Estuche
1174;GAULOISES RUBIO AZUL;5.85;10;Cajetilla
1176;AGIO MEHARI'S ECUADOR. (20);7.30;10;Estuche
1179;MONTECRISTO N.3           (25);415.00;1;Caja
1180;COHIBA MINI     (20);14.90;5;Estuche
11841;BLACK DEVIL BLACK (20);4.90;10;Cajetilla
1185;LA PAZ WILDE CIGARRO      (20);13.70;5;Estuche
1188;DUNHILL INTERNATIONAL;7.15;10;Cajetilla
1189;DON JULIÁN MINI (20);7.20;5;Estuche
1195;SUPERKINGS BLUE;7.90;10;Cajetilla
1210;GAULOISES RUBIO AMARILLO;5.85;10;Cajetilla
1218;EMBASSY Nº 1;7.90;10;Cajetilla
1223;MONTECRISTO N.5           (25);227.50;1;Caja
1230;GITANES CORTOS SIN FILTRO DURO;7.00;10;Cajetilla
1232;AGIO MEHARI'S RED ORIENT (20);7.30;10;Estuche
1234;DON JULIÁN Nº1 (5);22.00;5;Estuche
1236;GUAJIRO AROMAS            (10);3.80;10;Caja
1243;FONSECA DELICIAS          (25);110.00;1;Caja
1248;ROTHMANS BLUE;6.90;10;Cajetilla
12503;VEGAFINA CLASICC PERLA (10;29.50;1;Caja
12511;PUEBLO  30 G  FINE CUT NL;7.10;10;Bolsa
1258;JPS BLACK;5.85;10;Cajetilla
1263;JPS AMERICAN BLEND WHITE;5.85;10;Cajetilla
12669;TRABUCOS CORONAS 50 NL;27.50;1;Estuche
1272;SILK CUT WHITE;7.90;10;Cajetilla
1285;VOGUE SUPER SLIMS BLUE;7.15;10;Cajetilla
12913;LATINO HERITAGE;4.80;10;Cajetilla
1295;FONSECA COSACOS           (25);182.50;1;Caja
1299;GITANES CORTOS CON FILTRO DURO;7.00;10;Cajetilla
1306;VASCO DA GAMA Nº2 CLARO (25);50.00;1;Caja
1307;REY MUNDO DEMI TASSE      (25);150.00;1;Caja
13081;ROM Y JUL SHORT CHURCHIL 25 NL;530.00;1;Caja
13083;ROM Y JUL SHORT CHURCHIL 10 NL;212.00;1;Caja
1311;LAMBERT & BUTLER GOLD;7.75;10;Cajetilla
1314;CLUBMASTER MINI N.121 SUM.(20);4.70;10;Lata
1321;MINI DAVIDOFF             (50);38.00;1;Caja
1324;FONSECA N.1 (25);250.00;1;Caja
1332;GUAJIRO N.5               (25);27.50;1;Caja
1333;MONTECRISTO N.1           (25);522.50;1;Caja
1337;FONSECA CADETES           (25);107.50;1;Caja
1340;F.T.PARTAGAS SUPERPARTAGAS(25);252.50;1;Caja
1356;MONTECRISTO MINI (10);6.30;10;Estuche
1360;FLOR CANO PETIT CORONAS   (25);97.50;1;Caja
1362;MONTECRISTO N.2           (25);645.00;1;Caja
1365;AGIO MEHARI'S ECUADOR . (50);15.60;4;Estuche
13721;VEGAFINA MINI FILTER 20 NL;5.90;5;Lata
13729;STERLING KING SIZE;7.20;10;Cajetilla
13730;STERLING SUPERKINGS;7.20;10;Cajetilla
13772;ROM Y JUL SHORT CHURCH TUB 3NL;65.70;1;Caja
13783;PALL MALL PUERTO RICO;5.85;10;Cajetilla
13842;COHIBA CLUB (10) ESP PC NL;9.70;10;Caja
13843;MONTECRISTO CLUB (10) ESP PC NL;8.00;10;Caja
13929;ROM Y JUL PETIT JULIETA 25 NL;160.00;1;Caja
13931;BOLIVAR BELICOSOS FINOS WSL (25);455.00;1;Caja
13933;H. UPMANN CORONAS MAJOR T/AL 25 NL;235.00;1;Caja
13935;AMBER LEAF 10 X 50 G;15.50;10;Bolsa
13936;ROM Y JUL MILLE FLEURS (10) NL;74.00;1;Caja
13979;FLEUR DU PAYS N.1 BLOND 500 GR NL;130.40;1;Bolsa
14064;J.CORTES CORONA SUMATRA 100% S (10);33.00;2;Caja
14077;VILLIGER EXPORT  PRESSED (5) NL;7.20;5;Estuche
14079;VILLIGER KIEL JUNIOR  (10) NL;5.50;10;Estuche
14129;MONTECRISTO PETIT EDMUNDO (25) NL;457.50;1;Caja
14130;MONTECRISTO PETIT EDMUNDO (10);183.00;1;Caja
14134;JPS AMERICAN BLEND RED 100'S;5.50;10;Cajetilla
14138;BRANIFF NEGRO FILTER CAPA NATURAL 20;3.10;10;Estuche
1421;F.T.PARTAGAS HABANEROS    (25);197.50;1;Caja
1427;SIGNATURE BLUE      (20);6.10;5;Lata
1428;SIGNATURE ORIGINAL (20);6.10;5;Lata
1429;ROM Y JUL CORONITAS     (25);217.50;1;Caja
14443;DUCADOS MINI 20 ESP NL;4.10;10;Estuche
1445;H.W. HALF CORONAS          (5);8.60;5;Estuche
14534;VEGAFINA CLASSIC PERLA TUBO (10);33.50;1;Caja
1461;BORKUM RIFF BRONZE   (50 G);7.80;5;Bolsa
14636;H. UPMANN MAGNUM 46  TUBO (3) NL;59.10;1;Caja
14638;MONTECRISTO PETIT EDMUNDO TUBO (3)  NL;57.00;1;Caja
1465;MONTECRISTO N.3            (5);83.00;1;Estuche
14667;H.MONTERREY CORONATIONS T/ALUM(25);300.00;1;Caja
14672;MONTECRISTO EDMUNDO TUBO (3);79.20;1;Estuche
14673;MONTECRISTO N.4        (10) NL;127.00;1;Caja
14674;MONTECRISTO PETIT TUBOS 25  NL;335.00;1;Caja
14675;MONTECRISTO PETIT TUBOS 5;67.00;1;Caja
14686;ROM Y JUL ROMEO N.1    (3) NL;34.80;1;Estuche
14688;ROM Y JUL ROMEO N.2    (3) NL;36.00;1;Caja
14689;ROM Y JUL ROMEO N.3   (10)  NL;93.00;1;Caja
14690;ROM Y JUL ROMEO N.3   (3)  NL;27.90;1;Caja
14715;H. UPMANN CORONAS JUNIOR TUBO 25;185.00;1;Caja
14720;JOSE L. PIEDRA PETIT CAZADOR5;9.50;5;Caja
14730;QUAI D'ORSAY CORONAS CLARO (25) NL;400.00;1;Caja
14757;TOSCANELLO ROSSO 5;4.90;10;Estuche
14759;ANTICO TOSCANO 5;9.50;10;Estuche
14760;TOSCANELLO 5;4.90;10;Estuche
14761;TOSCANO EXTRAVECCHIO 5;7.10;10;Estuche
1483;PUNCH PUNCH PUNCH         (25);475.00;1;Caja
1484;TURNER ORIGINAL     (40G);7.95;5;Bolsa
14871;RICHMOND SUPERKINGS;7.40;10;Cajetilla
1490;VEGAS ROBAINA FAMOSOS      (25);400.00;1;Caja
14915;TOSCANO CLASSICO 5;6.60;10;Estuche
1493;DAVIDOFF DEMI TASSE NL (10);20.80;5;Caja
1499;AMPHORA FULL   (50G);7.80;5;Bolsa
15021;AL CAPONE ORIGINAL FILTER (10);2.70;10;Estuche
15062;PONCHO CIGARRITOS  10;2.60;10;Caja
1507;JOHN PLAYER KING SIZE BLUE;6.90;10;Cajetilla
1508;NOBEL PETIT WHITE SUMATRA (20);8.90;5;Estuche
1510;QUINTERO LONDRES EXTRA    (25);85.00;1;Caja
1513;VEGAS ROBAINA UNICOS       (25);550.00;1;Caja
15158;DAVIDOFF PRIMEROS 6;30.00;5;Estuche
1518;GUAJIRO GRAN CEDRO        (25);46.50;1;Caja
1520;COHIBA SIGLO II           (25);980.00;0;Caja
1526;MINI DAVIDOFF CIGAR SILVER 20;15.20;5;Estuche
15322;VASCO DA GAMA CAPA DE ORO25 NL;50.00;1;Estuche
1534;CONDAL N.4  (25);155.00;1;Caja
1535;AMSTERDAMER FINE CUT 40 G;8.50;10;Bolsa
15369;MACANUDO CLUB CIGARILLOS (20);8.80;5;Caja
1538;BORKUM RIFF ORIGINAL (50G) BY.;7.90;5;Bolsa
1541;MONTECRISTO ESPECIAL      (25);635.00;1;Caja
1545;BORKUM RIFF RUBY (50 G);8.00;5;Bolsa
1549;DAVIDOFF SIGNATURE N.2000 (25) NL;360.00;1;Caja
1554;ROM Y JUL ROMEO N.1     (10);116.00;1;Estuche
1559;SANCHO PANZA NON PLUS     (25);230.00;1;Caja
1560;ST. BRUNO READY RUBBED   (50G);8.90;5;Bolsa
1564;MONTECRISTO JOYITAS       (25);225.00;1;Caja
15723;TOSCANO ANTICA RISERVA 2;5.30;10;Estuche
15724;DAVIDOFF ROBUSTO COLLECTION 5;67.10;1;Caja
15727;HOLGER DANSKE RUBY MELANGE 50 G;4.50;5;Bolsa
15728;HOLGER DANSKE BLACK & B (50 G);5.65;5;Bolsa
15760;NOBEL TRIPLE FILTRO;6.00;10;Cajetilla
15774;PALL MALL R. N. ORL S.R.T. 200;48.00;3;Lata
15791;HERENCIA PALMERA BREVAS 25;15.00;1;Estuche
15793;HERENCIA PALMERA SEÑORITAS 25;12.50;1;Estuche
1580;DAVIDOFF SIGNATURE 1000 (25);275.00;1;Caja
15897;PUEBLO  100 G  FINE CUT NL;23.60;1;Lata
1590;F.T.PARTAGAS LUSITANIA    (25);805.00;0;Caja
1594;SANCHO PANZA BELICOSOS    (25);390.00;1;Caja
1595;CONDAL N.6  (25);155.00;1;Caja
15968;GUAJIRO FORTE TROMPETAS 5 NL;2.10;5;Estuche
1597;MAC BAREN MIXTURE        (50G);8.00;5;Bolsa
1598;CALYPSO REIG MINI FILTER NL(20);6.70;10;Estuche
1599;ROM Y JUL CHURCHILLS TUBO (10);300.00;1;Caja
1603;COHIBA EXQUISITOS         (25);980.00;0;Caja
1607;COHIBA PANATELAS (25);775.00;0;Caja
16082;BRANIFF AMER.  BLEND CAPA NATURAL;3.10;10;Estuche
16104;F.T.PARTAGAS MILLE FLEUR(25)NL;185.00;1;Caja
16114;VEGAFINA CLASSIC SHORT ROBUSTO (25);122.50;1;Caja
1613;HALF AND HALF            (50G);8.10;5;Bolsa
16151;PANTER MINI ORIGINAL 20;5.60;10;Lata
16152;PANTER MINI BLEU 20;5.60;10;Lata
16213;H. UPMANN MAGNUM 50   (25)  NL;577.50;1;Caja
16214;TABACS JUNEDA CALIQUEÑOS 20;20.00;4;Caja
16216;NEOS MINI JAVA  (20)  NL;5.00;10;Estuche
16263;GAULOISES BRUNES;6.35;10;Cajetilla
16280;D.TOMAS CLASICO ROBUSTO  25;107.50;1;Caja
16281;D.TOMAS CLASICO ROTHSCHILD  25;100.00;1;Caja
16284;PUEBLO CIGARETTE;5.15;10;Cajetilla
1629;DAVIDOFF SIGNATURE N.2000 (5) NL;72.00;1;Estuche
16328;GAULOISES MELANGE ORIGINAL 40G;10.05;10;Bolsa
1634;BORKUM RIFF BLACK (50 G);8.30;5;Bolsa
16350;F.T.PARTAGAS SERIE D N.4(10)NL;212.00;1;Caja
16357;H.MONTERREY EPICURE ESP  25;565.00;1;Caja
1637;DAVIDOFF SIGNATURE 1000  (5) NL;55.00;1;Estuche
16404;EL CREDITO SERIE R N.4 ( 24) NL;124.80;1;Caja
16405;EL CREDITO SERIE R N.5 ( 24) NL;141.60;1;Caja
16406;EL CREDITO SERIE R N.6 ( 24) NL;194.40;1;Caja
1645;CLAN BLUE (50G);8.30;5;Bolsa
1646;CAPSTAN ORIGINAL NAVY CUT(50G);11.40;5;Lata
1651;BROOKFIELD Nº 1 (50 G);5.00;5;Bolsa
16629;H.MONTERREY EPICURE ESP  10;226.00;1;Caja
16638;LA CAMPANA CALIQUEÑOS (20);20.00;2;Caja
16641;LA CAMPANA CALIQUEÑOS (10);10.00;5;Caja
16684;MARLBORO POCKET PACK (CORTO);6.00;10;Cajetilla
16725;PUEBLO BLUE;5.15;10;Cajetilla
16763;MACANUDO LONDON CLUB CONNECTICUT 25;77.50;1;Caja
16781;TABACS JUNEDA  CALIQUEÑOS 50;50.00;1;Caja
1689;DAVIDOFF SIGNATURE N.2   (5) NL;105.00;1;Estuche
1696;BORKUM RIFF COPPER (50 G);8.30;5;Bolsa
1699;KENTUCKY BIRD            (50G);7.20;5;Bolsa
17000;F.T.PARTAGAS SALOMONES 10;382.00;1;Caja
17036;VEGAFINA SHORT ROBUSTO (10) NL;49.00;1;Caja
17097;EL CREDITO SERIE R N.3  24;94.80;1;Caja
17140;PANTER MINI RED 20;5.60;10;Lata
17149;AMIGOS  (20) NL CN;4.60;10;Caja
17196;CANDLELIGHT FILTER RED (10);1.60;10;Caja
17197;CANDLELIGHT FILTER GOLD 10;1.60;10;Caja
1720;INDIAN SUMMER            (50G);8.00;5;Bolsa
17201;CANDLELIGHT B. CORONA SUMATRA 25;30.00;1;Caja
17202;MANITOU F.CUT VIRGINIA.GOLD100;19.00;3;Lata
17213;BURTON ORIGINAL;4.80;10;Cajetilla
17217;MANITOU VIRGINIA GOLD;5.00;10;Cajetilla
17218;MANITOU VIRGINIA PINK;5.00;10;Cajetilla
17221;CALYPSO REIG 1 (10);3.40;10;Estuche
1723;MAC BAREN GOLDEN AMBROSIA(50G);8.30;5;Bolsa
1725;H.MONTERREY EPICURE N.1   (25);530.00;1;Caja
17253;MAKLA BOUHLEL BENTCHICOU ROUGE 20;1.70;10;Lata
17257;LA DALIA REIG 7 CORTADOS NA (10);7.60;10;Estuche
17317;H. UPMANN MAGNUM 50 TUBO 3;71.40;1;Caja
17318;H.MONTERREY EPICURE ESP TUBO 3;69.90;1;Caja
1733;MAC BAREN RED AMBROSIA (50G);8.00;5;Bolsa
17412;MONTE NEGRO SERIE ORO (24) ED.ESP;55.20;1;Caja
17487;CLUBMASTER MINI FILTER RED 20;4.70;10;Estuche
1754;SKANDINAVIK NAVY (50 G);8.40;5;Bolsa
17555;GOLDEN VIRGINIA YELLOW 50G;15.30;10;Bolsa
1757;GAWITH ORIGINAL  (10G);2.50;10;Lata
17579;HDA. DOS SANTOS CORONAS 25;50.00;1;Caja
1758;GLETSCHERPRISE           (10G);2.50;10;Lata
17580;HDA. DOS SANTOS G. RESERVA 25;56.25;1;Caja
17582;CONSUL CRISTALES RESERVA 25;47.50;1;Caja
17583;CONSUL ESPECIALES 25;42.50;1;Caja
1761;LOWENPRISE               (10G);2.50;10;Lata
17648;MONTE NEGRO PANETELAS 25;35.00;1;Caja
17656;JPS VIRGINIA BLUE;7.15;10;Cajetilla
1772;DAVIDOFF ANIVER SPECIAL R  (25);562.50;1;Caja
17737;AMIGOS   10;3.30;10;Estuche
1775;SKANDINAVIK MIXTURE      (50G);8.20;5;Bolsa
1776;EXCLUSIV MIXTURE Nº 6 (50 G);5.50;5;Lata
17770;D.TOMAS CLASICO LINDOS (25);90.00;1;Caja
1783;CAPSTAN GOLD NAVY CUT (50G);10.90;5;Lata
17853;PANTER DESERT 20 ND;4.70;10;Caja
17859;NEOS MINI JAVA 50   NL;18.00;2;Caja
17869;BRANIFF NEGRO CAPA NATURAL 20;3.10;10;Estuche
17945;STEEPLE MEZCLA AMERICANA 350 G;71.00;1;Lata
1796;CONDAL ROBUSTO (25);162.50;1;Caja
18014;MONTECRISTO OPEN REGATA 20;292.00;1;Caja
18015;MONTECRISTO OPEN EAGLE 20;568.00;1;Caja
18017;MONTECRISTO OPEN JUNIOR 20;182.00;1;Caja
1803;CONDAL CHURCHILL  (25);212.50;1;Caja
18100;AJJA 17 EXTRA BLONDE  40 GR;9.90;10;Bolsa
18151;MACANUDO ASCOTS MADURO 10;11.60;10;Caja
1816;DANSKE CLUB BLACK LUXURY (50G);8.50;5;Bolsa
1820;EXCLUSIV MIXTURE Nº 2 (50 G);5.50;5;Bolsa
1822;J.CORTES MINI             (20);11.50;5;Estuche
18294;CHESTERFIELD ROLL YOUR OWN 30 G;6.50;10;Bolsa
18327;ORIGENES 30 G;6.90;10;Bolsa
18416;BOLIVAR ROYAL CORONAS TUBO 10;203.00;1;Caja
18417;PUNCH PUNCH TUBO 10;197.00;1;Caja
1845;DAVIDOFF ANIVERSARIO SPECIAL'T'  (20);536.00;1;Caja
18627;SIGNATURE FINOS BLUE 20;5.10;5;Lata
18697;PUEBLO  30 G  BURLEY BLEND;7.10;10;Bolsa
18725;AMIGOS POCKET FILTER 20;3.30;10;Estuche
18726;AMIGOS POCKET 20;3.40;10;Estuche
18760;ROLL´S RED 17;2.70;10;Estuche
18762;ROLL´S NEGRO FILTER 17;2.70;10;Estuche
18775;CLUBMASTER CIGARILLO RED 20;5.20;10;Estuche
18793;CHESTERFIELD BLANDO;6.00;10;Cajetilla
18803;BRANIFF LINEA D'ORO RED 20;3.30;10;Estuche
18804;BRANIFF LINEA D'ORO WHITE 20;3.30;10;Estuche
18861;MONTECRISTO OPEN REGATA  T 3;45.90;1;Estuche
18862;MONTECRISTO OPEN EAGLE T 3;87.30;1;Estuche
18863;MONTECRISTO OPEN MASTER T 3;69.90;1;Estuche
18864;MONTECRISTO OPEN JUNIOR T 3;29.40;1;Estuche
1889;BORKUM RIFF MALT BRONZE LAT (200 G);22.80;1;Lata
1907;DAVIDOFF SCOTTISH MIXTURE NL(50G);17.20;5;Lata
19078;MARLBORO TOUCH AZUL;6.00;10;Cajetilla
19102;DUCADOS RUBIO RED SOFT (20);5.70;10;Cajetilla
19117;Vegafina Classic Minutos Ecobag (16);28.00;5;Estuche
19138;ROM Y JUL  JULIETA (5);50.00;1;Caja
19140;ROM Y JUL WIDE CHURCHILLS 10;234.00;1;Caja
19141;ROM Y JUL WIDE CHURCHILLS 3 TUBO;72.30;1;Caja
19159;CANDLELIGHT FILTER WHITE 10;1.60;10;Caja
19185;MAC BAREN 7 SEAS GOLD B. 40 G;4.10;5;Bolsa
19314;L&M BLUE BLANDO;5.75;10;Cajetilla
19379;JPS BLACK 100S;5.85;10;Cajetilla
1942;W.O.LARSEN OLD FASHION. (100G);19.30;3;Lata
1952;CONDAL CORONA INMENSO  (25);206.25;1;Caja
19643;MONTE NEGRO CORONAS 48 HUMIDOR PW;81.60;1;Lata
19676;FLOR DEL SOL ROBUSTO 10;29.00;1;Estuche
19677;FLOR DEL SOL SHORT ROBUSTO 10;27.00;1;Estuche
19683;CANDLELIGHT FILTER GOLD 17;2.60;10;Caja
19758;BULLBRAND FILTER CIGARS 20 HL;2.70;10;Caja
19968;DAVIDOFF P. D'ORO SUBLIMES 4;16.00;1;Estuche
19969;DAVIDOFF P. D'ORO SUBLIMES 10;40.00;1;Caja
19974;DAVIDOFF P. D'ORO NOTABLES 4;24.00;1;Estuche
19975;DAVIDOFF P. D'ORO NOTABLES 10;60.00;1;Caja
19978;DAVIDOFF P. D'ORO MAGNIFICOS10;61.20;1;Caja
1999;MAC LINTOCK WILD C.  50 G;5.50;5;Bolsa
2001;W.O.LARSEN CLASSIC      (100G);19.30;3;Lata
20030;DUCADOS 25 AZUL DURO;7.50;8;Cajetilla
20071;NOBEL STYLE;5.60;10;Cajetilla
20154;MCCHRYSTAL S ORIG & GEN SNUFF 4 G;1.00;12;Lata
20227;AMIGOS FILTER 20     CN;4.70;10;Caja
20228;AMIGOS (50)   CN;17.00;1;Caja
20242;COBURN CAPA NATURAL RED 20;3.80;10;Estuche
20243;COBURN CAPA NATURAL BLUE 20;3.85;10;Estuche
20280;AMIGOS MEDIUM 10;2.60;10;Estuche
20300;BULLBRAND A.B. FILTER CIGARS 20;2.70;10;Caja
20313;TOSCANELLO NERO 5;4.90;10;Estuche
20314;HERENCIA PALMERA;4.80;10;Cajetilla
20343;SELEC P. ROBUSTOS TR 2012 (10);251.00;1;Caja
20344;H. UPMANN HALF CORONA  25;167.50;1;Caja
20345;H. UPMANN HALF CORONA 5;35.00;1;Caja
20351;F.T.PARTAGAS SERIE E N.2  (25);670.00;1;Caja
20352;F.T.PARTAGAS SERIE E N.2  (5);134.00;1;Caja
20376;CALYPSO REIG 1  (18);5.65;10;Estuche
20461;DUCADOS RUBIO 112G;26.50;1;Bolsa
20745;H.MONTERREY EPICURE N.2 TUBO 3;65.70;1;Estuche
20820;BARLOVENTO BREVAS (50);32.50;1;Estuche
20943;VERELLEN PONCHO 10;3.00;10;Caja
21109;QUINTERO FAVORITOS    25;117.50;1;Caja
21110;RAFAEL GONZ. PERLAS 25;93.75;1;Caja
21130;CAMEL PICADURA DE LIAR 70G;16.90;5;Lata
21141;WINSTON PICADURA DE LIAR 70G;16.90;5;Lata
2117;CONDAL N.5  (25);150.00;1;Caja
21190;COBURN CAPA NATURAL RED 10;2.00;20;Estuche
2121;PUNCH PETIT CORONATIONS   (25);220.00;1;Caja
21250;MONTE NEGRO BUCANEROS 10 PW;3.00;10;Caja
21294;VEGAFINA SERIE 2 GRAN CORONA (10);48.00;1;Caja
21295;VEGAFINA PANETELAS F2 25;80.00;1;Caja
21296;VEGAFINA SERIE 2 SHORT BELICOSO (10);50.00;1;Caja
21348;AMSTERDAMER 40 G;4.50;5;Bolsa
21363;DUCADOS RUBIO 170G;39.85;1;Bolsa
21797;FORTUNA CUBO LIAR/ENTU (80 G);18.15;3;Lata
22052;AROMAS DEL CARIBE SHORT ROBUSTO 25 PW;45.00;1;Caja
22053;AROMAS DEL CARIBE TORPEDOS 25 PW;45.00;1;Caja
22055;AROMAS DEL CARIBE DEMI TASSE 25 PW;35.00;1;Caja
22056;AROMAS DEL CARIBE G. ROBUSTO 25 PW;50.00;1;Caja
22550;MONTECRISTO N.5      (5)    PW;45.50;1;Caja
22562;MONTECRISTO N.4         (5) PW;63.50;1;Estuche
22572;H.MONTERREY P. ROBUSTOS (3) PW;46.20;1;Estuche
22573;MONTECRISTO N.4      (3)    PW;38.10;1;Estuche
22629;F.T.PARTAGAS SER.D N.4 TUB(3)PW;65.70;1;Estuche
22728;F.T.PARTAGAS SERIE D N.5  (10)PW;160.00;1;Caja
22729;F.T.PARTAGAS SERIE D N.5  (25)PW;400.00;1;Caja
22742;NOBEL SLIMS;5.85;10;Cajetilla
22758;HANDELSGOLD N.100 (10) PW;2.00;10;Caja
22815;VEGAFINA CORONAS (4) PW;18.20;1;Estuche
22816;VEGAFINA CORONITAS  (4)PW;17.00;1;Estuche
22821;VEGAFINA ROBUSTOS (3)PW;17.10;5;Estuche
22824;VEGAFINA SHORT ROBUSTOS (3) PW;14.70;5;Lata
22829;VEGAFINA GRAN CORONA F2 (4)PW;19.20;1;Estuche
22830;VEGAFINA SHORT BELICOSO F2(3)PW;15.00;1;Estuche
22831;VEGAFINA SERIE 2 PANETELA (5);16.00;1;Estuche
23007;CAMEL ACTIVA;6.10;10;Cajetilla
23479;LUCKY STRIKE ORIGIN. TOBAC;5.75;10;Cajetilla
23483;AL CAPONE GOLD FILTER (10);2.70;10;Estuche
23580;AL FAKHER THE DOUBLE CRUNCH (50G);4.70;10;Caja
23581;AL FAKHER RED PATCH (50G);4.70;10;Caja
23586;AL FAKHER GRAPIO GREEN (50G);4.70;10;Caja
23587;AL FAKHER GRAPIO(50G);4.70;10;Caja
23589;AL FAKHER BIG GREEN (50G);4.70;10;Caja
23611;DESERT GOLD BLUE;4.65;10;Cajetilla
23621;AL FAKHER GRAPIO GREEN(250G);19.95;1;Caja
23622;AL FAKHER GRAPIO (250 G) PW;19.95;1;Caja
23676;ELIXYR RED;4.95;10;Cajetilla
23677;ELIXYR RED 100`S;4.90;10;Cajetilla
23678;ELIXYR BLUE;4.95;10;Cajetilla
23679;ELIXYR + M-TYPE;5.00;10;Cajetilla
23681;AUSTIN RED;4.80;10;Cajetilla
23682;AUSTIN BLUE;4.80;10;Cajetilla
23684;DUCAL RED;4.85;10;Cajetilla
23686;ELIXYR ORIGINAL (175 G);31.50;1;Lata
23799;F.T.PARTAGAS SERIE D N.5 T (3) PW;50.10;1;Estuche
23801;ROM Y JUL PETIT CHURCHILLS 25 PW;387.50;1;Caja
23802;ROM Y JUL PETIT CHURCHILLS T 3 PW;48.60;1;Estuche
23906;CORONAS RESERVA CIG CPB CAJ.20 PW;4.65;10;Caja
23912;PANTER MINI FILTER RED 20 PW;5.60;10;Lata
24010;CROSSROAD GOLD DRUM 75 G PW;15.50;1;Lata
24037;GAULOISES RUBIO ROJO 24;6.65;8;Cajetilla
24039;GAULOISES RUBIO AZUL 24;6.65;8;Cajetilla
24068;CORSET LILAS SUPERSLIMS;4.80;10;Cajetilla
24069;CORSET PINK SUPERSLIMS;4.80;10;Cajetilla
24070;CORSET MARINE SUPERSLIMS;4.80;10;Cajetilla
24075;JPS AMERICAN BLEND RED 24;6.70;8;Cajetilla
24187;ELIXYR OPTIMAL CUT (150 G);27.00;1;Lata
24227;VEGAFINA ROBUSTO F2 (10) PW;57.00;1;Caja
24228;VEGAFINA ROBUSTO F2 TUBO 20 PW;126.00;1;Caja
24229;STEEPLE NEGRO 70 G PW;14.25;1;Bote
24233;FLANDRIA TABAC SPECIAL 100 G PW;20.55;1;Bote
2443;PETER STUYVESANT BLUE;6.25;10;Cajetilla
2444;PETER STUYVESANT SILVER;6.25;10;Cajetilla
24498;EL CREDITO SERIE R N.6 (4) PW;24.40;1;Estuche
24520;COBURN DARK 20 PW;3.80;10;Estuche
24572;MANITOU GREEN 50 GR PW;10.20;4;Lata
24604;CANDLELIGHT FILTER GREEN 10 CB PW;1.60;10;Caja
24607;BULLBRAND TABACO NEGRO 100 G L PW;18.90;3;Lata
2461;WINFIELD RED;8.40;8;Cajetilla
24628;MINI DAVIDOFF CIGARILLOS GOLD 10 PW;7.60;10;Caja
24648;DUCADOS RUBIO CIGARRITOS (20);3.75;10;Estuche
24651;IDEALES 75 G;18.25;5;Lata
2470;AGIO MEHARI'S JAVA   (50);15.60;4;Caja
24711;FLORIDITA RED FILTER 20;4.20;10;Estuche
24712;FLORIDITA 20 PW;4.20;10;Estuche
24720;MAYA ORIGINAL PF;5.20;10;Cajetilla
2481;PETER STUYVESANT RED;6.25;10;Cajetilla
24864;AL FAKHER GREEN CHU (50 G);4.70;10;Caja
24871;AL FAKHER THE DOUBLE CRUNCH (1000G);73.95;1;Caja
24872;AL FAKHER BIG GREEN (1000G);73.95;1;Caja
24873;AL FAKHER GREEN CHU 1000 G;73.95;1;Caja
24879;VILLIGER MINI BLACK SUMATRA 20 PW;4.50;5;Estuche
24880;VILLIGER MINI RED FILTER 20 PW;4.50;5;Estuche
24883;BRANIFF LINEA D ORO NEGRO FIL 20 PW;3.30;10;Estuche
24885;CORONAS BLACK SOFT;5.95;10;Cajetilla
24896;JOCKEY RED FILT CIG 17 CELO PW;2.40;10;Caja
24897;JOCKEY BLUE FILT CIG 17 CELO PW;2.40;10;Caja
24905;VEGAFINA SHORT ROBUSTO TUB 20 PW;110.00;1;Caja
24911;MONTE NEGRO BREVAS ESPEC. 25 PW;13.75;1;Caja
24923;MANITOU VIRGINIA GREEN 20;5.20;10;Cajetilla
24933;Vegafina Classic Corona Tubos Humidor 40;202.00;1;Caja
24952;QUINTERO FAVORITOS 5 PW;23.50;1;Estuche
24954;NOBEL LATA LIAR/ENTU (70 G);16.85;3;Lata
24960;MAC BAREN 7 SEAS ORIG BLEND 40 PW;3.60;5;Bolsa
25003;NEOS MINI RED FILTER 20 PW;5.00;10;Estuche
25015;CLUBMASTER MINI BLUE 20 PW;4.70;10;Caja
25016;BARSDORF`S BEST B.VIRGIN 100 G PW;7.60;2;Lata
25017;BARSDORF'S BESTER MIXTURE 100 G PW;7.60;2;Lata
25020;BARSDORF`S BEST B.VIRGIN 40 G PW;3.50;5;Bolsa
25048;MONTE NEGRO BUCANEROS CUBA 10 PW;3.00;10;Caja
25116;PARTAGAS CLUB 10 PW;6.10;10;Estuche
25117;PARTAGAS MINI 10 PW;5.00;10;Estuche
25119;GUANTANAMERA CRISTALES 5  PW;10.50;1;Caja
25168;CALYPSO DANN. MINI MOODS 10 FIL PW;3.50;10;Caja
25189;CHE RED;5.25;10;Cajetilla
25191;PUEBLO GREEN;5.15;10;Cajetilla
25196;AROMAS DEL CARIBE CELEBRACION 24 PW;48.00;1;Caja
25229;CASA DE GARCIA TORO 10 PW;18.00;1;Caja
25352;DENIM BLUE AMERICAN BLEND;4.50;10;Cajetilla
25362;VASCO DA GAMA CAPA ORO 5 PW;5.00;5;Estuche
2539;DUCADOS MINI CLASSIC (20);4.10;10;Estuche
25427;COHIBA WHITE MINI 20 PW;14.90;5;Caja
